form	lemma	POS	morph
བབ་	བབ་	VERB
།།		PUNCT
བསྙེ་	བསྙེ་	NO_POS
ནང་	ནང་	NOUN
ཤན་	ཤན་	NOUN
དཔེ་	དཔེ་	NOUN
མོ་	གོ་	PART
སྙེབ་		NON_WORD
།		PUNCT
ང་	ང་	PRON
		
རྭ་	རྭ་	NOUN
		
བ་	པ་	PART
		
བ་	པ་	PART
མ༷བ་		NON_WORD
		
		
༷ཤཱ་		NON_WORD
སྤྱ༷་		NON_WORD
		
ཟམ་	ཟམ་	NO_POS
		
མ༷བ༷མབ་		NON_WORD
༄		PUNCT
		
ཟམ་	ཟམ་	NO_POS
		
ཡ༷་		NON_WORD
		
སྨོས་བ་	སྨོས་བ་	VERB
༄		PUNCT
		
ཡ་	ཡ་	NOUN
		
༷རྟག་		NON_WORD
ཚོགདག་		NON_WORD
གནད་	གནད་	NOUN
གས་པ་བ་	གས་པ་བ་	VERB
འི་	གི་	PART
མེ་བ་	མེ་བ་	NOUN
།		PUNCT
པ་	པ་	PART
		
མ་	མ་	PART
		
སྨོའི་		NON_WORD
༅		PUNCT
ཡོ་	ཡོ་	OTHER
		
མ་	མ་	PART
		
འིབ༷་		NON_WORD
		
བ་	པ་	PART
		
མ་	མ་	PART
༅		PUNCT
ཀ༷་		NON_WORD
		
བཀུན་		NON_WORD
བང་	བང་	NOUN
འདུ་	འདུ་	VERB
།		PUNCT
		
དབ་	དབ་	NO_POS
		
སྨོ་		NON_WORD
		
ཡོ་	ཡོ་	OTHER
		
མ་	མ་	PART
		
བ༷་		NON_WORD
༅་		PUNCT
བ༷་		NON_WORD
		
བ་	བ་	X
འི་	གི་	PART
		
		
༷བ་		NON_WORD
		
ཀུ༷༷་		NON_WORD
༅		PUNCT
༷བ་		NON_WORD
		
ཀ་	ཀ་	DET
		
སྨོ༷་		NON_WORD
		
བ་	པ་	PART
		
པོ་	པོ་	PART
		
མ་	མ་	PART
ལོབསྤྱབ་		NON_WORD
		
༷་		NON_WORD
		
		
		
བ་པ་	བ་པ་	PART
ས་	གིས་	PART
ཏུ་	ལ་	PART
རྗེབ་		NON_WORD
		
༷ཡིམ༷མ་		NON_WORD
༷་		NON_WORD
		
		
པ་	པ་	PART
༷པམ༷པ་		NON_WORD
༷༷་		NON_WORD
		
༷ལསམ་		NON_WORD
		
		
༷་		NON_WORD
		
མ་	མ་	PART
		
